sample	contig	bgc_candidate_id	product_activity	protein_id	gene_start	gene_end	pfam_id	protein_id_1	clan	pfam	family	description	taxid	taxonomy
SRR6145060	k99_10621	k99_10621_92-2817.1	NA	k99_10621_k99_10621_2	92	1127	PF00933	0.56675	CL0058	Glyco_hydro_tim	Glyco_hydro_3	Glycosyl hydrolase family 3 N terminal domain	1747	Cutibacterium acnes
SRR6145060	k99_10621	k99_10621_92-2817.1	NA	k99_10621_k99_10621_3	1383	2817	PF00069	0.5899	CL0016	PKinase	Pkinase	Protein kinase domain	1747	Cutibacterium acnes
SRR6145060	k99_10621	k99_10621_92-2817.1	NA	k99_10621_k99_10621_3	1383	2817	PF07714	0.57678	CL0016	PKinase	Pkinase_Tyr	Protein tyrosine kinase	1747	Cutibacterium acnes
SRR6145060	k99_2324	k99_2324_0-3713.1	antibacterial	k99_2324_k99_2324_1	0	672	PF00483	0.74172	CL0110	GT-A	NTP_transferase	Nucleotidyl transferase	1747	Cutibacterium acnes
SRR6145060	k99_2324	k99_2324_0-3713.1	antibacterial	k99_2324_k99_2324_1	0	672	PF12804	0.67397	CL0110	GT-A	NTP_transf_3	MobA-like NTP transferase domain	1747	Cutibacterium acnes
SRR6145060	k99_2324	k99_2324_0-3713.1	antibacterial	k99_2324_k99_2324_2	797	2000	PF13439	0.65299	CL0113	GT-B	Glyco_transf_4	Glycosyltransferase Family 4	1747	Cutibacterium acnes
SRR6145060	k99_2324	k99_2324_0-3713.1	antibacterial	k99_2324_k99_2324_2	797	2000	PF13579	0.64592	CL0113	GT-B	Glyco_trans_4_4	Glycosyl transferase 4-like domain	1747	Cutibacterium acnes
SRR6145060	k99_2324	k99_2324_0-3713.1	antibacterial	k99_2324_k99_2324_2	797	2000	PF08323	0.54815	CL0113	GT-B	Glyco_transf_5	Starch synthase catalytic domain	1747	Cutibacterium acnes
SRR6145060	k99_2324	k99_2324_0-3713.1	antibacterial	k99_2324_k99_2324_2	797	2000	PF00534	0.65146	CL0113	GT-B	Glycos_transf_1	Glycosyl transferases group 1	1747	Cutibacterium acnes
SRR6145060	k99_2324	k99_2324_0-3713.1	antibacterial	k99_2324_k99_2324_2	797	2000	PF13692	0.67376	CL0113	GT-B	Glyco_trans_1_4	Glycosyl transferases group 1	1747	Cutibacterium acnes
